IncGeo_BoroughName,ResponseTimeBinary,inner,Latitude,Longitude
TOWER HAMLETS,0,1,51.511762,-0.026433
TOWER HAMLETS,0,1,51.511762,-0.026433
TOWER HAMLETS,0,1,51.511762,-0.026433
TOWER HAMLETS,0,1,51.5114475067,-0.0267454455
TOWER HAMLETS,0,1,51.513559,-0.026355
TOWER HAMLETS,0,1,51.513559,-0.026355
TOWER HAMLETS,0,1,51.513559,-0.026355
TOWER HAMLETS,0,1,51.514458,-0.026317
TOWER HAMLETS,0,1,51.514458,-0.026317
TOWER HAMLETS,0,1,51.514458,-0.026317
TOWER HAMLETS,0,1,51.514458,-0.026317
TOWER HAMLETS,0,1,51.514458,-0.026317
TOWER HAMLETS,0,1,51.5150449599,-0.0263535431
TOWER HAMLETS,0,1,51.515357,-0.026278
TOWER HAMLETS,1,1,51.515357,-0.026278
TOWER HAMLETS,0,1,51.515357,-0.026278
TOWER HAMLETS,0,1,51.5167963351,-0.0258458484
TOWER HAMLETS,0,1,51.5167922491,-0.0258527605
TOWER HAMLETS,0,1,51.5167961086,-0.0258323875
TOWER HAMLETS,0,1,51.517154,-0.0262
TOWER HAMLETS,1,1,51.517154,-0.0262
TOWER HAMLETS,0,1,51.517154,-0.0262
TOWER HAMLETS,0,1,51.5179972244,-0.0256886781
TOWER HAMLETS,0,1,51.518052,-0.026161
TOWER HAMLETS,1,1,51.518052,-0.026161
TOWER HAMLETS,0,1,51.518951,-0.026122
TOWER HAMLETS,0,1,51.518951,-0.026122
TOWER HAMLETS,1,1,51.51985,-0.026083
TOWER HAMLETS,0,1,51.5204230393,-0.0261602904
TOWER HAMLETS,0,1,51.525241,-0.02585
TOWER HAMLETS,1,1,51.525241,-0.02585
TOWER HAMLETS,1,1,51.525241,-0.02585
TOWER HAMLETS,0,1,51.525241,-0.02585
TOWER HAMLETS,1,1,51.525241,-0.02585
TOWER HAMLETS,1,1,51.525241,-0.02585
TOWER HAMLETS,0,1,51.525241,-0.02585
TOWER HAMLETS,0,1,51.525241,-0.02585
TOWER HAMLETS,0,1,51.5261770538,-0.0256841221
TOWER HAMLETS,0,1,51.5262294654,-0.0259243924
TOWER HAMLETS,0,1,51.526247399,-0.0258663541
TOWER HAMLETS,0,1,51.5262337,-0.025924
TOWER HAMLETS,1,1,51.52614,-0.025811
TOWER HAMLETS,1,1,51.527039,-0.025773
TOWER HAMLETS,0,1,51.527039,-0.025773
TOWER HAMLETS,1,1,51.527937,-0.025734
TOWER HAMLETS,0,1,51.527937,-0.025734
TOWER HAMLETS,0,1,51.5305133094,-0.02603316
TOWER HAMLETS,1,1,51.530633,-0.025617
TOWER HAMLETS,0,1,51.530633,-0.025617
TOWER HAMLETS,0,1,51.530633,-0.025617
TOWER HAMLETS,0,1,51.530633,-0.025617
TOWER HAMLETS,1,1,51.531532,-0.025578
TOWER HAMLETS,0,1,51.531532,-0.025578
TOWER HAMLETS,0,1,51.531532,-0.025578
TOWER HAMLETS,0,1,51.531532,-0.025578
TOWER HAMLETS,1,1,51.531532,-0.025578
TOWER HAMLETS,0,1,51.531532,-0.025578
TOWER HAMLETS,0,1,51.531532,-0.025578
TOWER HAMLETS,0,1,51.531532,-0.025578
TOWER HAMLETS,0,1,51.531532,-0.025578
TOWER HAMLETS,1,1,51.531532,-0.025578
TOWER HAMLETS,0,1,51.531532,-0.025578
TOWER HAMLETS,0,1,51.5318907181,-0.0249858344
TOWER HAMLETS,1,1,51.5316566018,-0.0251959464
TOWER HAMLETS,1,1,51.53243,-0.025539
TOWER HAMLETS,1,1,51.53243,-0.025539
TOWER HAMLETS,1,1,51.533329,-0.0255
TOWER HAMLETS,1,1,51.533329,-0.0255
TOWER HAMLETS,1,1,51.5380008825,-0.0250184659
TOWER HAMLETS,0,1,51.5380693757,-0.0249683313
TOWER HAMLETS,0,1,51.53872,-0.025267
TOWER HAMLETS,0,1,51.53872,-0.025267
